[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=10.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=10.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=10.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=8.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=13.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=11.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=10.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
[tests:looped:iter] TID=001 | static void xyzzy::scopetimer::ScopeTimer_TestFriend::test_looped_work() | start=2025-11-13 00:37:53.878 | end=2025-11-13 00:37:53.878 | elapsed=9.000us
